66	249	300	75	264	356	111	191	335
66	259	306	75	184	354	111	248	326
66	259	306	75	255	356	111	191	335
153	269	78	63	356	182	253	369	224
163	357	307	249	65	222	376	141	104
165	365	261	324	303	65	107	229	143
168	250	313	180	356	65	150	74	333
168	250	314	180	356	65	150	74	335
168	327	354	180	303	65	150	74	376
170	358	351	63	26	232	157	328	256
172	79	317	131	354	255	278	254	54
172	254	111	131	67	354	278	361	205
172	269	111	131	67	356	278	347	205
172	270	156	57	409	184	26	395	250
180	276	308	153	121	65	301	409	209
181	58	277	136	314	354	205	20	261
181	58	277	136	314	354	206	20	246
181	153	361	136	67	261	376	344	265
183	228	300	255	354	65	369	76	109
183	365	315	255	280	65	344	76	109
208	250	176	326	356	65	107	141	268
208	250	176	328	65	356	314	141	58
208	250	176	328	356	65	107	141	363
208	250	313	128	356	65	161	191	333
208	250	314	128	356	65	161	191	335
208	327	354	128	303	65	161	191	376
210	219	111	131	67	301	359	368	333
212	106	316	357	280	67	141	294	66
212	112	316	357	280	67	141	294	152
212	127	316	357	280	65	141	294	152
218	318	303	227	356	111	67	158	84
221	276	306	80	255	356	184	59	108
221	276	306	127	255	356	111	20	184
228	122	351	356	215	159	376	18	86
249	260	175	364	278	65	109	82	346
249	262	175	136	409	65	109	395	287
251	153	174	136	67	354	300	335	270
252	71	116	349	320	280	312	152	86
254	172	114	131	354	65	306	150	333
260	71	116	154	354	222	86	335	294
261	79	165	131	109	354	300	231	333
263	71	116	228	141	354	300	152	324
269	219	301	324	356	111	86	160	72
269	250	129	326	356	65	232	117	159
269	250	129	326	356	65	232	167	109
279	258	112	326	67	354	219	198	84
297	132	313	153	356	65	164	74	333
297	132	314	153	356	65	164	74	335
307	298	219	366	278	111	67	158	84
310	219	213	131	255	65	376	401	107
315	132	300	80	354	207	278	59	165
315	249	300	131	354	65	278	169	107
318	227	221	153	121	65	370	256	342
318	271	78	117	207	182	370	12	349
319	298	116	71	280	109	259	409	136
320	71	78	109	301	182	370	217	352
320	117	78	63	301	182	370	217	352
323	227	308	153	121	65	301	409	209
325	249	300	127	354	232	111	20	224
345	132	162	366	205	65	278	74	319
345	358	270	255	26	278	130	12	106
345	358	270	255	67	278	130	76	102
350	277	209	131	253	65	370	232	107
353	259	113	364	157	67	301	285	141
353	259	113	364	278	65	301	150	136
353	264	114	364	157	280	301	18	86
365	263	270	346	26	278	130	12	106
365	263	270	346	67	278	130	76	102
