58	72	176	157	364	315	369	141	344
64	106	214	349	272	326	81	130	309
64	106	351	75	184	216	326	409	256
64	183	210	268	364	278	81	152	344
77	276	351	57	362	164	86	260	161
79	165	176	57	364	315	369	141	344
153	123	351	63	184	216	326	409	256
172	371	66	300	109	356	232	255	81
175	276	351	154	362	67	184	260	66
180	350	208	63	26	326	327	116	301
203	105	136	349	272	326	166	26	302
204	276	351	220	362	120	86	54	112
204	276	351	220	362	120	86	104	62
211	135	319	71	111	362	301	335	184
218	132	351	366	215	111	67	333	123
218	132	351	366	215	111	68	333	28
256	227	318	374	26	161	164	12	342
256	227	318	374	121	65	164	108	342
257	276	351	113	362	111	81	130	231
265	371	69	75	111	356	208	191	345
269	71	116	154	328	354	86	181	300
272	153	302	215	356	67	121	191	383
306	179	211	372	270	109	115	20	342
308	179	209	372	270	109	115	20	342
310	58	249	136	328	354	122	20	229
310	106	134	323	170	67	301	409	66
310	112	134	323	170	67	301	409	152
310	118	65	323	109	172	301	409	86
310	118	65	323	109	356	296	225	86
310	127	134	323	170	65	301	409	152
310	132	127	323	65	162	301	409	111
310	133	65	323	109	170	301	409	86
310	153	121	323	67	170	301	409	141
310	153	122	323	67	170	301	409	143
310	163	249	106	328	354	86	231	18
310	168	157	323	26	356	296	12	189
310	173	184	323	121	65	301	409	152
310	323	134	63	362	164	301	73	155
310	323	134	106	362	164	301	26	66
310	323	136	105	362	67	301	217	161
310	323	136	157	362	67	301	170	60
312	132	109	323	164	67	121	409	344
312	323	134	106	362	164	115	20	344
312	323	136	105	362	67	116	211	344
313	64	167	349	126	182	261	102	381
313	79	167	349	109	182	261	133	381
323	210	351	179	362	65	109	76	170
323	216	351	179	362	65	109	76	256
325	168	210	136	364	109	230	20	344
325	210	172	127	230	65	109	411	342
327	122	136	374	109	198	267	26	346
