34	140	385	286	147	265	258	86	20
142	111	42	88	132	250	379	266	363
142	111	42	88	132	250	379	284	345
142	113	89	143	178	305	258	273	369
142	113	385	136	284	102	258	86	273
142	131	385	99	108	293	258	86	274
142	136	89	34	178	305	258	273	369
142	174	110	143	196	305	258	97	369
142	250	177	52	122	305	97	347	369
142	250	177	52	122	305	97	369	347
142	251	42	10	132	110	379	266	363
142	251	42	10	132	110	379	284	345
142	275	385	136	284	261	97	248	113
169	113	385	250	147	137	282	210	180
169	118	385	139	148	178	258	353	295
169	251	42	150	114	141	379	266	363
169	251	42	150	114	141	379	284	345
169	251	42	150	290	141	379	199	345
169	251	42	292	147	210	260	319	192
169	251	117	145	138	206	284	266	319
169	251	281	34	260	222	139	230	363
169	251	281	34	260	305	139	225	363
169	253	117	345	147	137	379	124	363
169	253	146	266	114	121	379	284	66
169	253	146	266	290	121	379	199	66
169	253	266	293	147	122	199	319	221
169	253	266	296	147	286	199	319	129
169	275	250	311	284	178	312	36	60
169	298	250	270	289	178	312	36	60
169	305	274	246	147	294	192	189	131
170	92	385	116	147	137	282	210	26
170	92	385	146	284	205	139	197	26
170	92	385	146	284	274	139	195	26
170	92	385	194	147	137	276	124	26
170	92	385	227	274	281	145	124	26
170	95	105	274	147	193	214	319	133
170	95	194	105	147	122	276	319	221
170	95	385	147	107	190	276	133	219
170	95	385	282	147	137	264	113	210
170	113	385	89	147	137	282	210	179
170	119	89	276	147	177	214	319	133
170	119	89	312	292	177	139	355	132
170	191	385	88	147	137	276	113	204
185	95	385	148	284	205	258	186	60
185	149	290	88	260	250	223	205	319
185	219	290	88	260	250	145	205	319
194	102	250	377	307	118	139	86	132
194	119	89	377	307	261	139	248	132
194	119	250	377	307	102	139	86	132
194	143	385	152	283	261	97	248	113
194	179	250	89	147	118	214	319	133
194	305	250	106	147	294	99	86	131
198	174	385	152	282	142	258	117	18
198	176	385	152	282	142	97	117	337
198	189	385	152	282	142	258	86	20
202	106	385	260	147	137	97	248	203
202	140	385	260	147	106	97	248	201
210	95	105	143	180	149	258	205	319
210	112	89	143	178	149	258	205	319
210	113	89	260	267	217	312	248	60
210	118	166	277	252	217	312	97	60
210	147	178	312	281	89	258	50	26
217	194	385	286	148	106	97	248	339
217	264	385	286	148	277	97	248	113
217	277	385	286	148	261	97	248	113
225	118	290	312	91	174	258	279	216
225	122	89	260	307	109	290	248	291
225	122	89	312	292	109	196	248	339
225	195	266	246	307	89	126	298	26
225	200	89	312	292	109	126	248	339
225	284	250	312	291	270	36	86	20
270	149	89	301	178	109	258	50	319
270	304	89	260	203	109	312	248	60
278	140	385	193	147	265	258	86	20
278	140	385	270	147	261	97	248	113
