64	216	258	349	409	157	81	130	278
64	312	301	109	356	164	81	130	333
64	358	351	109	307	164	81	130	333
77	313	326	57	303	215	86	409	172
106	202	266	134	67	354	278	355	76
106	202	266	136	67	354	278	355	171
121	222	215	349	157	363	86	362	12
122	222	207	349	409	266	86	18	111
124	218	326	105	65	356	184	207	345
124	218	326	298	65	356	184	205	58
124	313	326	201	65	356	184	303	58
154	250	169	326	356	65	184	68	268
154	250	169	328	356	65	184	68	363
158	312	301	111	356	67	178	129	333
158	358	351	111	307	67	178	129	333
167	250	264	326	356	65	107	229	143
180	298	326	105	65	213	82	409	214
180	345	163	326	121	65	313	403	150
180	345	164	326	121	65	313	403	152
201	231	317	111	354	67	278	129	301
202	229	127	301	65	356	184	322	111
206	220	133	326	356	111	81	300	119
208	219	327	136	67	301	370	107	309
209	220	134	358	205	65	376	68	347
210	219	328	72	207	354	86	355	60
221	202	127	326	65	354	184	308	111
223	201	317	136	354	65	278	115	301
229	112	134	357	301	67	268	363	159
229	127	134	357	301	65	268	363	159
229	250	134	111	356	67	313	369	160
231	153	328	301	67	356	122	82	254
231	302	328	71	111	356	171	76	253
231	317	328	71	111	354	171	76	253
249	153	266	134	67	354	278	355	76
249	153	266	136	67	354	278	355	171
256	72	61	301	116	356	273	322	143
256	118	111	301	67	356	273	322	143
261	153	166	136	67	354	300	231	333
275	58	259	136	314	354	122	20	246
275	58	260	136	314	354	122	20	248
275	105	136	298	354	215	369	26	216
297	201	169	326	356	65	184	68	268
297	201	169	328	356	65	184	68	363
313	224	205	63	26	169	376	401	301
314	224	213	63	255	76	376	73	395
315	122	136	202	354	67	278	109	345
315	217	136	105	354	67	278	207	345
315	217	136	298	354	67	278	205	58
350	72	61	303	116	259	370	321	143
350	118	111	303	67	259	370	321	143
350	214	161	63	26	255	370	321	184
367	122	136	346	109	213	376	26	267
