18	192	270	290	102	157	250	183
18	199	270	290	102	157	244	183
18	313	290	148	93	214	125	240
18	323	290	154	102	205	125	240
34	72	210	290	245	266	203	183
34	215	290	241	78	183	214	252
78	241	270	290	102	157	244	69
82	260	290	267	102	130	297	67
82	267	241	292	102	181	266	67
82	297	265	290	102	130	260	67
86	72	210	290	245	266	109	183
90	230	258	292	193	89	272	69
90	245	258	290	193	89	272	69
94	268	242	290	210	136	126	69
94	290	269	178	133	190	214	67
178	290	121	268	213	190	75	101
186	293	213	81	90	369	272	69
190	323	125	290	150	250	81	167
202	230	89	292	153	260	85	69
202	245	89	290	153	260	85	69
206	243	293	81	90	214	361	69
210	72	89	290	245	266	98	183
214	12	241	292	85	181	266	101
214	36	241	292	137	181	266	67
214	72	89	290	245	266	200	183
230	270	121	75	249	86	109	298
230	270	121	292	254	75	109	142
230	272	121	292	102	213	248	81
238	26	270	290	102	248	213	69
242	89	269	290	146	70	214	69
242	93	266	290	102	70	259	69
242	137	270	290	102	130	213	67
242	139	122	290	262	152	214	67
242	268	94	290	210	70	151	69
242	270	121	290	102	124	271	81
242	272	89	290	262	70	98	69
242	277	122	290	153	83	18	198
254	277	82	292	237	183	75	167
258	96	121	75	194	237	272	303
258	290	121	132	233	75	272	152
266	12	242	290	177	101	78	167
266	75	290	154	102	183	190	189
266	94	242	290	177	148	75	129
266	96	242	290	86	148	126	69
266	146	242	290	177	75	123	167
266	238	125	290	150	248	81	167
266	290	125	180	150	190	81	167
270	132	290	121	102	198	297	81
270	137	293	196	102	130	361	67
270	141	73	290	102	142	250	183
270	198	125	290	102	250	199	81
270	200	125	290	102	126	244	81
270	241	85	290	102	200	244	69
270	241	121	75	102	142	237	355
270	242	121	290	102	124	198	81
270	244	121	290	102	256	241	81
270	290	73	252	102	125	126	149
270	290	73	252	102	126	125	149
270	293	186	137	306	83	209	69
270	294	121	243	102	256	295	81
270	295	121	75	102	142	235	355
270	295	125	75	102	141	142	355
270	295	125	75	102	142	141	355
270	295	125	196	102	128	151	355
270	297	254	290	133	83	98	69
270	353	121	289	102	124	198	81
286	75	125	305	93	146	260	158
286	83	257	92	306	214	126	69
286	89	125	268	78	311	223	256
286	139	122	267	102	369	202	67
286	139	122	305	102	259	260	67
286	139	122	305	102	260	259	67
286	165	82	258	265	296	89	69
286	197	125	91	206	369	272	20
286	243	213	81	90	369	272	69
286	270	121	75	306	86	109	241
286	272	121	75	102	369	142	241
286	272	125	194	90	369	81	203
286	311	121	268	213	124	75	101
286	311	137	268	213	83	132	69
286	311	269	92	82	130	214	67
290	88	125	268	78	291	109	257
290	96	269	178	133	263	214	67
290	103	262	178	133	272	205	67
290	132	269	91	81	291	214	69
290	132	270	121	102	291	213	81
290	134	125	268	213	291	81	101
290	141	125	268	213	291	75	101
290	146	126	268	102	125	313	81
290	180	137	268	213	83	263	69
290	180	269	91	81	248	214	69
290	180	270	121	102	248	213	81
290	193	269	91	241	183	214	20
290	211	125	180	90	266	81	204
290	212	125	180	90	266	81	203
290	212	137	178	102	266	132	67
290	213	126	268	102	125	190	81
290	260	73	267	102	125	126	149
290	260	73	267	102	126	125	149
290	261	125	180	90	272	81	206
290	262	125	180	90	272	81	205
290	266	73	257	93	125	126	158
290	266	73	257	93	126	125	158
290	270	121	75	102	241	157	305
290	272	126	75	102	125	142	252
290	277	82	251	241	183	75	167
290	323	125	180	150	205	81	167
294	96	121	75	254	295	272	271
294	213	121	268	102	295	248	81
